custom-id-1,expected-gfa
43821,1048.41
33948,3689.72
128371,7092.18
99649,2393.82
44044,1126.14
44047,1358.52
44036,2869.83
89915,939.47
44975,6352.29
44035,2573.04
44058,4594.16
128302,4899.56
92807,4550.24
124397,5508.92
43652,3088.29
124418,1163.86
128261,3845.96
34369,3734.58
123151,1102.54
34407,5258.58
44405,11503.72
44407,7204.96
92474,1906.45
44514,1397.13
43841,996.45
44716,5176.16
62835,10753.4
43843,2028.21
44424,1596.81
44423,1056.57
44034,4688.44
125734,2098.02
129879,2356.95
7835,1755.48
85394,1582.14
108674,8297.54
95895,109952.84
118353,1482.48
71163,1020.5
66450,1738.02
92580,5919.93
69193,2404.53
114331,1733.94
105696,1906.76
67008,4747
107117,3660.45
115643,1846.62
107287,4297.5
62239,1657.28
79766,3777.48
91608,9819.92
97977,1158.6
65055,9168.6
76652,1696.64
106711,1433.18
98296,6538.77
117786,5621.76
82231,981.49
101927,1163.78
66166,1543.78
105529,7243.06
91560,3312.38
72635,2083.41
65591,1108.06
79610,3601.66
43787,1102.56
96198,9027.84
123736,1681.39
119348,6342.18
6391,1256.61
74384,4912.1
44155,2212.04
44059,5018.88
75759,1328.82
44327,4335
62772,2137.04
44315,2403.3
89613,4403.01
43925,2092.16
13108,2570.3
6413,1268.06
82482,4512.6
58300,4315.96
130813,2152.68
44202,4894.44
44316,1609.14
123606,1118.14
84329,3468.54
95114,3736.12
44585,23741.45
44776,11732.24
44774,11324.58
48527,6534.12
132558,5008.05
132512,1117.77
43922,5177.32
44684,2556.88
101669,4610.6
44199,4201.64
33856,10341.84
44312,2317.65
44632,3233.91
44317,2338.65
44322,1419.3
98980,6714.24
105511,1649.81
105085,6327.21
44198,5519.88
60768,4669.29
107947,3592.53
43924,1679.64
44340,1644.92
62998,3444.4
67548,1019.59
113506,1632.27
77165,4230.7
136667,3997.14
44313,1594.17
44165,1377.87
103029,3932.86
67089,3895.12
44324,3231.81
44201,3125.2
44319,3008.82
44717,3824.82
44309,1471.48
69798,5069.72
34272,1138.54
101262,1749.2
43820,1939.04
106367,5103.03
58762,4239.3
102699,5266.2
44323,3067.53
85082,2433.59
117259,1589.58
89312,10062.38
44328,3174.27
133281,1167.9
33945,8358.92
33961,7001.24
44200,8884.68
72189,3755.16
97114,1896.57
44382,22092.44
109640,3102
75847,2195.48
109615,3242.15
100108,14032.08
73690,10426.36
105088,24975.52
82049,13574.82
44715,2684.28
